[u'Signal Processing: Image Communication ', u'Sig. Proc.: Image Comm.', 24]
[u'Digital Signal Processing', u'DSP', 23]
[u'The Journal of Supercomputing', u'TJSC', 23]
[u'Autonomous Agents and Multi-Agent Systems', u'AAMAS', 23]
[u'Manufacturing & Service Operations Management', u'M&SOM)', 23]
[u'Journal of Computational Neuroscience', u'JCNS', 23]
[u'Simulation Modelling Practice and Theory', u'SIMUL MODEL PRACT THEORY', 23]
[u'Principles and Practice of Parallel Programming', u'PPoPP', 23]
[u'International Symposium on Mobile Ad Hoc Networking and Computing', u'MobiHoc', 23]
[u'International Conference on Supercomputing', u'ICS', 23]
[u'Code Generation and Optimization', u'CGO', 23]
[u'ACM SIGMOD Conference on Principles of DB Systems', u'PODS', 23]
[u'MICCAI (3)', u'MICCAI', 23]
[u'ACM Symposium on Information, Computerand Communications Security', u'ASIACCS', 23]
[u'Business Process Management', u'BPM', 23]
[u'International Conference on Innovation Database Research', u'CIDR', 23]
[u'Hydrology and Earth System Sciences', u'HYDROL EARTH SYST SCI', 23]
[u' IEEE Transactions on Computational Intelligence and AI in Games', u'TCIAIG', 23]
[u'Industrial Management and Data Systems', u'IMDS', 23]
[u'Computers in Biology and Medicine', u'Comp. in Bio. and Med.', 23]
[u'IEEE Systems Journal', u'IEEE SYST J', 23]
[u'Mathematics of Operations Research', u'MOR', 23]
[u'Software and System Modeling', u'SoSyM', 23]
[u'User Modeling and User-Adapted Interaction', u'User Model. User-Adapt. Interact.', 23]
[u'EURASIP Journal on Wireless Communications and Networking', u'EURASIP JWCN', 23]
[u'Journal of Cryptology', u'J. Cryptology', 23]
[u'ACM Transactions on Information and System Security', u'TISS', 23]
[u'Software: Practice and Experience', u'Softw., Pract. Exper.', 23]
[u'Business Process Management Journal', u'BPMJ', 23]
[u'Journal of the Operational Research Society', u'JORS', 23]
[u'Machine Vision and Applications', u'Mach. Vis. Appl.', 23]
[u'The Journal of Strategic Information Systems', u'J. Strategic Inf. Sys.', 23]
[u'Discrete & Computational Geometry', u'DCG', 22]
[u'Journal of Intelligent and Robotic Systems', u'JIRS', 22]
[u'Telecommunication Systems', u'TELSYS', 22]
[u'Neural Computing & Applications', u'NCA', 22]
[u'Computers & Graphics', u'CG', 22]
[u'Conference on User Modelling, Adaptation and Personalization', u'UMAP', 22]
[u'Cluster Computing', u'CLUSTER', 22]
[u'Conference of the Association for Computational Linguistics', u'ACL', 22]
[u'European Symposium on Programming', u'ESOP', 22]
[u'nternational Learning Analytics and Knowledge', u'LAK', 22]
[u'International Conference on Document Analysis and Recognition', u'ICDAR', 22]
[u'International Joint Conference on Neural Networks', u'IJCNN', 22]
[u'International Conference on Autonomic Computing', u'ICAC', 22]
[u'European Conference on Wireless Sensor Networks', u'EWSN', 22]
[u'ACM Multimedia Systems Conference Series', u'MMSys', 22]
[u'International Conference on Hybrid Systems: Computation and Control', u'HSCC', 22]
[u'Euromicro Conference on Real-Time Systems', u'ECRTS', 22]
[u'Annual International Conference on the Theory and Application of Cryptology and Information Security', u'ASIACRYPT', 22]
[u'International Conference on Multimedia and Expo', u'ICME', 22]
[u'International Journal of Bifurcation and Chaos', u'IJBC', 22]
[u'Journal of Intelligent Manufacturing', u'JIM', 22]
[u'Logical Methods in Computer Science', u'LMCS', 22]
[u'First Monday', u'FIRSTMONDAY', 22]
[u'Mobile Networks & Applications', u'MONET', 22]
[u'Medical & Biological Engineering & Computing', u'MBEC', 22]
[u'IEEE Robotics & Automation Magazine', u'RAM', 22]
[u'Electronic Colloquium on Computational Complexity', u'ECCC', 22]
[u'ACM Transactions on Programming Languages and Systems', u'TOPLAS', 22]
[u'Journal of Global Optimization ', u'J Gobal Optim.', 22]
[u'SIAM Journal on Discrete Mathematics', u'SIDMA', 22]
[u'IEEE Transactions on Learning Technologies', u'TLT', 22]
[u'Advances in Engineering Software', u'AES', 21]
[u'Parallel Computing', u'PARCO', 21]
[u'Journal of Computer Security', u'JCS', 21]
[u'Artificial Intelligence in Medicine', u'AIM', 21]
[u'Foundations of Computational Mathematics', u'FoCM', 21]
[u'Electronic Commerce Research and Applications', u'ECRA', 21]
[u'Conference on Software Maintenance and Reengineering', u'CSMR', 21]
[u'International Conference on Concurrency Theory', u'CONCUR', 21]
[u'Requirements Engineering', u'RE', 21]
[u'International Workshop on Practice and Theory in Public Key Cryptography', u'PKC', 21]
[u'International Conf on Function Programming', u'ICFP', 21]
[u'International Conference on Service Oriented Computing', u'ICSOC', 21]
[u'ACM Conference on Security and Privacy in Wireless and Mobile Networks', u'WiSec', 21]
[u'ACM International Conference on Intelligent User Interfaces', u'IUI', 21]
[u'Fundamental Approaches to Software Engineering', u'FASE', 21]
[u'International Conference on Medical Image Computing and Computer Assisted Intervention', u'MICCAI', 21]
[u'International Conference on Computer-Aided Design', u'ICCAD', 21]
[u'International Conference on Network Protocols', u'ICNP', 21]
[u'IEEE International Symposium on Performance Analysis of Systems and Software', u'ISPASS', 21]
[u'IEEE International Symposium on Personal, Indoor and Mobile Radio Communications', u'PIMRC', 21]
[u'The International Conference on Dependable Systems and Networks', u'DSN', 21]
[u'Asia and South Pacific Design Automation Conference', u'ASP-DAC', 21]
[u'Software Product Lines', u'SPLC', 21]
[u'International Conference on Computational Linguistics  (Posters)', u'Coling (Poster)', 21]
[u'Journal of Computer-Mediated Communication', u'JCMC', 21]
[u'Operating Systems Review', u'SIGOPS', 21]
[u'Requirements Engineering', u'Requir. Eng.', 21]
[u'Journal of Medical Systems', u'J. Medical Systems', 21]
[u'Information Retrieval ', u'Inf. Retr.', 21]
[u'SIAM J. Math. Analysis', u'SIAM J. Math. Analysis', 21]
[u'European Journal of Combinatorics', u'Eur. J. Comb.', 21]
[u'Journal of Combinatorial Theory, Series A', u'J. Comb. Theory, Ser. A', 21]
[u'Fundamenta Informaticae', u'Fundam. Inform.', 21]
[u'Journal of Universal Computer Science', u'J.UCS', 21]
[u'Computerized Medical Imaging and Graphics', u'Comp. Med. Imag. and Graph.', 21]
[u'International Journal of Systems Science', u'Int. J. Systems Science', 21]
[u'Performance Evaluation', u'Perform. Eval.', 21]
[u'International Journal of Neural Systems', u'Int. J. Neural Syst.', 21]
[u'Journal of Knowledge Management', u'J. Knowledge Management', 21]
[u'SIAM Journal on Financial Mathematics ', u'SIFIN', 21]
[u'International Journal on Software Tools for Technology Transfer', u'STTT', 21]
[u'Journal of Intelligent Information Systems', u'Inf. Syst. J.', 21]
[u'IEEE Computer Graphics and Applications', u'CGA', 20]
[u'Journal of Mathematical Imaging and Vision', u'JMIV', 20]
[u'Language Resources and Evaluation', u'LRE', 20]
[u'International Conference on Computational Science', u'ICCS', 20]
[u'ACM Symposium on Principles of Distributed Computing', u'PODC', 20]
[u'Advanced Information Networking and Applications', u'AINA', 20]
[u'ACM International Conference on Interactive Tabletops and Surfaces', u'ITS', 20]
